window,num_nodes,num_edges,density,avg_degree,avg_weighted_degree,norm_avg_weighted_degree,triadic_closure,assortativity,connected_components,num_performances,median_cast_size
1986-1987,852,7122,0.0196,16.718,17.176,0.0202,0.8194,0.7021,49,187,5.0
1987-1988,891,6876,0.0173,15.434,16.218,0.0182,0.8483,0.7755,49,187,5.0
1988-1989,899,6645,0.0165,14.783,15.368,0.0171,0.7796,0.5107,60,183,5.0
1989-1990,892,6644,0.0167,14.897,15.247,0.0171,0.8106,0.5606,61,195,4.0
1990-1991,875,4808,0.0126,10.99,11.506,0.0132,0.8,0.6917,67,236,4.0
1991-1992,924,4442,0.0104,9.615,11.1,0.012,0.7914,0.6819,76,269,4.0
1992-1993,987,5036,0.0103,10.205,12.093,0.0123,0.7734,0.5945,104,281,4.0
1993-1994,1114,6547,0.0106,11.754,12.555,0.0113,0.7965,0.5722,105,289,4.0
1994-1995,1119,9301,0.0149,16.624,17.319,0.0155,0.7535,0.4813,82,279,4.0
1995-1996,1100,9579,0.0158,17.416,17.98,0.0164,0.7635,0.5135,101,263,4.0
1996-1997,968,7022,0.015,14.508,14.94,0.0154,0.8293,0.6539,94,248,4.0
1997-1998,829,6187,0.018,14.926,16.046,0.0194,0.781,0.5281,65,216,4.0
1998-1999,766,5089,0.0174,13.287,13.945,0.0182,0.8324,0.6678,68,192,3.0
1999-2000,692,3900,0.0163,11.272,11.962,0.0173,0.744,0.3589,106,203,2.0
2000-2001,870,4317,0.0114,9.924,10.878,0.0125,0.6886,0.4087,134,302,2.0
2001-2002,1059,5475,0.0098,10.34,11.347,0.0107,0.6505,0.4346,152,361,3.0
2002-2003,1121,5790,0.0092,10.33,11.229,0.01,0.6469,0.446,140,354,3.0
2003-2004,1074,5195,0.009,9.674,10.756,0.01,0.5858,0.4259,126,366,3.0
2004-2005,1061,5417,0.0096,10.211,11.274,0.0106,0.7019,0.5095,112,331,3.0
2005-2006,1114,6307,0.0102,11.323,13.576,0.0122,0.8413,0.7513,112,325,3.0
2006-2007,1115,6247,0.0101,11.205,13.439,0.0121,0.8406,0.7641,126,350,3.0
2007-2008,1004,4342,0.0086,8.649,9.331,0.0093,0.8508,0.8769,140,347,3.0
2008-2009,1049,5324,0.0097,10.151,10.501,0.01,0.8589,0.8547,133,322,3.0
2009-2010,1074,6471,0.0112,12.05,12.983,0.0121,0.8043,0.7386,118,290,4.0
2010-2011,1107,7079,0.0116,12.79,13.015,0.0118,0.8524,0.8084,113,271,4.0
2011-2012,1069,7793,0.0137,14.58,14.975,0.014,0.8162,0.6624,94,253,4.0
2012-2013,1122,7080,0.0113,12.62,13.471,0.012,0.795,0.5944,89,274,4.0
2013-2014,1132,6416,0.01,11.336,11.908,0.0105,0.8382,0.7385,99,286,4.0
2014-2015,1145,7359,0.0112,12.854,13.043,0.0114,0.8396,0.69,105,279,4.0
2015-2016,1318,8807,0.0101,13.364,13.671,0.0104,0.7486,0.569,120,320,4.0
2016-2017,1306,8511,0.01,13.034,14.133,0.0108,0.7352,0.5844,123,330,4.0
2017-2018,1201,7967,0.0111,13.267,13.893,0.0116,0.7332,0.5219,113,285,4.0
2018-2019,1195,8446,0.0118,14.136,14.464,0.0121,0.7285,0.5908,94,268,4.0
2019-2020,939,6611,0.015,14.081,14.224,0.0152,0.7805,0.6081,76,194,4.0
