window,contributor_id,degree,weighted_degree,betweenness,name
1930-1931,453597,24,26,0.013154,Carolyn Forsyth
1930-1931,225025,20,32,0.002752,Ethel Gabriel
1930-1931,453570,7,8,0.002563,Eric Pendlebury
1930-1931,453572,3,3,1.7e-05,N Rice
1930-1931,477327,10,13,0.000182,Ann Martin
1930-1931,443504,22,29,0.000584,Eric  Edmonds
1930-1931,453577,4,4,0.0,Helen McGregor
1930-1931,453578,4,4,0.0,Julian Leslie
1930-1931,453575,4,4,0.0,Kathleen Lee
1930-1931,453576,4,4,0.0,Patricia Lamb
1930-1931,429505,3,3,0.0,Madeleine Howell
1930-1931,453584,21,24,0.008542,Alph Olsen
1930-1931,453458,3,3,0.0,Gloria Ziotkowski
1930-1931,447660,3,3,0.0,Mrs W Bell Allen
1930-1931,453599,3,3,0.0,W Bell Allen
1930-1931,231867,41,41,0.01612,Alathea Siddons
1930-1931,233802,10,10,2.1e-05,Brett Randall
1930-1931,477811,10,10,2.1e-05,Carlton Stewart
1930-1931,477807,10,10,2.1e-05,Connie Metters
1930-1931,228046,13,14,0.072505,Freda McGhee
1930-1931,477809,43,50,0.014898,Grace Savieri
1930-1931,477808,23,31,0.001353,June Carter
1930-1931,230970,19,19,0.011848,Osmund Wenban
1930-1931,458691,55,61,0.042867,Richard Fair
1930-1931,451330,8,20,2.2e-05,Asthore Taunton
1930-1931,451331,4,12,0.0,E Howell
1930-1931,451329,12,21,0.002234,J A Reid
1930-1931,451622,3,6,0.0,Alice Madden
1930-1931,225581,15,23,0.007597,Edward Howell
1930-1931,226682,20,24,0.10506,Therese Desmond
1930-1931,451610,13,17,0.007221,Cliff Peir
1930-1931,451620,7,11,0.000288,G  Kershaw
1930-1931,451615,22,38,0.004639,Adeline Taylor
1930-1931,451614,5,10,0.0,Adeline Tudehope
1930-1931,451616,5,10,0.0,David Rothfield
1930-1931,451617,5,10,0.0,Neville Rothfield
1930-1931,245441,12,13,0.009587,James Hancock
1930-1931,451618,5,5,0.000408,May Wilde
1930-1931,451619,3,3,0.0,Peggy C MacIntyre
1930-1931,456036,3,3,9.8e-05,Vera Harvey
1930-1931,422799,19,19,0.0,Alan Harkness
1930-1931,452748,52,82,0.020686,Alexander Marsh
1930-1931,235455,19,19,0.0,Allan Wilkie
1930-1931,438652,33,33,0.023955,Arthur Keane
1930-1931,235473,19,19,0.0,Frediswyde Hunter-Watts
1930-1931,438654,19,19,0.0,Herbert Sheldrick
1930-1931,230947,19,19,0.0,Hilda Scurr
1930-1931,442606,19,19,0.0,John Cairns
1930-1931,228451,19,19,0.0,John Cameron
1930-1931,245562,19,19,0.0,Keith Hall
1930-1931,233375,19,19,0.0,Lorna Forbes
1930-1931,456727,19,19,0.0,Luke Hazlett
1930-1931,438635,19,19,0.0,Marjorie Carr
1930-1931,438639,19,19,0.0,Mildred Howard
1930-1931,234679,19,19,0.0,Miles Hastings
1930-1931,251131,19,19,0.0,Moncrieff McCallum
1930-1931,452746,19,19,0.0,Ronald Riley
1930-1931,236777,19,19,0.0,Russell Chapman
1930-1931,452749,19,19,0.0,Tom Sutterby
1930-1931,254032,19,19,0.0,William Lockhart
1930-1931,453596,3,3,0.0,C Rickman
1930-1931,246596,16,16,0.001929,Charles Anscombe
1930-1931,453571,5,5,2.3e-05,Erwin Smith
1930-1931,454860,15,15,0.001737,A Fusselle
1930-1931,442962,14,22,4.3e-05,Dorothy Colley
1930-1931,442896,16,18,0.022813,Mollie Kirwan
1930-1931,454131,12,17,6e-06,W E Anderson
1930-1931,453463,10,12,0.000179,Beryl Mathies
1930-1931,452944,4,4,1.8e-05,Oriel Mullarkey
1930-1931,451594,25,26,0.006003,Joyce Lambert
1930-1931,525158,5,5,0.0,George Roberts
1930-1931,441538,5,5,0.0,James Pearson
1930-1931,453580,5,5,0.0,Jean Wedderspoon
1930-1931,453582,5,5,0.0,Rona Steel
1930-1931,442621,5,5,0.0,Russell J Oakes
1930-1931,453583,5,5,0.0,Ruth Andin
1930-1931,453586,3,3,0.000101,Rollo Lewis
1930-1931,453585,15,17,0.003576,Zelma Bernstein
1930-1931,453590,3,3,3e-06,E Edwards
1930-1931,453593,2,2,0.0,A J Stuart
1930-1931,453595,2,2,0.0,Gary Herbert
1930-1931,453594,2,2,0.0,Mary Shaw
1930-1931,453600,2,2,8e-06,Mary Gibson
1930-1931,453643,10,10,6e-06,Allen Davis
1930-1931,442569,25,32,0.026087,Carrie Tennant
1930-1931,451576,10,10,6e-06,Frank Cayley
1930-1931,453644,10,10,6e-06,J Dudley-Swinton
1930-1931,453642,10,10,6e-06,J Hamilton
1930-1931,453641,10,10,6e-06,K S Maclellan
1930-1931,228163,45,45,0.034286,Alfred Race
1930-1931,454637,14,14,5.1e-05,Cliff McDonald
1930-1931,402028,14,14,5.1e-05,Eric  Howell
1930-1931,478387,14,14,5.1e-05,Frank Barlow
1930-1931,416120,14,14,5.1e-05,Harry Jacobson
1930-1931,453851,15,26,0.000319,Ivy Wilkinson
1930-1931,454763,21,21,0.011121,Jim Hatton
1930-1931,528010,15,26,0.000319,Lillian Lloyd
1930-1931,453850,15,26,0.000319,Molly O'Brien
1930-1931,453733,14,14,5.1e-05,P J Breen
1930-1931,478388,14,14,5.1e-05,Paul Curran
1930-1931,478389,14,14,5.1e-05,Stan Rigney
1930-1931,453849,15,26,0.000319,Sybil Parsons
1930-1931,452759,15,26,0.000319,Vera Keogh
1930-1931,453852,6,12,0.0,Lily Rosenberg
1930-1931,453926,2,2,0.0,Miss Lorraine
1930-1931,453927,5,5,0.00151,Mr Hayes
1930-1931,453929,4,4,0.000476,Dorothy Stark
1930-1931,454762,11,11,0.029288,Bill Parsons
1930-1931,454757,11,14,0.00126,Frank Hidden
1930-1931,228051,13,14,0.003906,Garry Byrne
1930-1931,454761,8,9,0.002484,H G Godsall
1930-1931,454759,7,7,2e-06,Kathleen Wishart
1930-1931,454760,7,7,2e-06,Madge Frost
1930-1931,454758,12,14,0.003224,Marie Boyers
1930-1931,455225,9,9,0.001145,Dorothy Spark
1930-1931,455226,9,9,0.001145,Dr Short
1930-1931,442622,9,9,0.001145,Waldo Anderson
1930-1931,415249,11,12,0.001091,Brunton Gibb
1930-1931,443358,11,12,0.001091,James J Donnelly
1930-1931,509380,3,3,0.0,Walter Martin
1930-1931,226707,30,30,0.056605,Arundel Nixon
1930-1931,454584,7,7,0.0,Clarence Murphy
1930-1931,401920,13,14,0.052666,Edward  Cavill
1930-1931,452977,7,7,0.0,Horace J Salier
1930-1931,455567,7,7,0.0,John Wright
1930-1931,455566,13,14,0.052666,Naomi Waters
1930-1931,455565,7,7,0.0,Sheelagh Ross
1930-1931,237914,69,87,0.069382,Vera Spaull
1930-1931,529933,11,11,1.1e-05,Alan Lawrence
1930-1931,529934,11,11,1.1e-05,Ambrose Flower
1930-1931,236747,11,11,1.1e-05,Arthur Stigant (Junior)
1930-1931,411201,47,50,0.039615,George Jennings
1930-1931,249070,11,11,1.1e-05,Lewis Shaw
1930-1931,256994,26,27,0.001323,Redge Carey
1930-1931,485045,11,11,1.1e-05,Reginald Tate
1930-1931,237945,23,24,0.000958,Reginald Wykeham
1930-1931,529932,42,48,0.003677,Vincent Lawson
1930-1931,251148,23,26,0.044378,Leslie  Hay-Simpson
1930-1931,477705,5,5,0.0,Lorna Harwood
1930-1931,228172,5,5,0.0,Myra Leard
1930-1931,443295,5,5,0.0,Myrna Dickey
1930-1931,477704,5,5,0.0,Nancy Ruthven
1930-1931,477707,5,5,0.0,Noni Dunne
1930-1931,477983,7,7,4e-06,J G Bartlett
1930-1931,442626,7,7,4e-06,Jack Appleton
1930-1931,442906,19,21,0.045374,Rita Humfress
1930-1931,401915,12,13,0.0112,S R Irving
1930-1931,484046,4,4,0.0,Agnes Brewster
1930-1931,453402,9,9,0.009666,John Henry Pickard
1930-1931,228555,4,4,0.0,John Vincent Gould
1930-1931,484047,16,16,0.029611,Meg Service
1930-1931,228165,13,13,0.027266,Mimi Spaull
1930-1931,237911,24,34,0.000125,Charles Hawthorne
1930-1931,454057,53,120,0.002895,Diana Belmont
1930-1931,449816,33,42,0.002037,Emmeline Orford
1930-1931,235515,32,55,0.00034,Fred Coape
1930-1931,229031,32,55,0.00034,Gladys Moncrieff
1930-1931,236711,84,117,0.017348,Gus Bluett
1930-1931,231999,96,191,0.007352,Herbert Browne
1930-1931,237934,51,79,0.001936,Jack Dunne
1930-1931,449815,24,34,0.000125,James O'Toole
1930-1931,238608,13,13,0.000166,John Forde
1930-1931,405897,58,86,0.007681,John Harper
1930-1931,238359,84,285,0.010978,John Ralston
1930-1931,438636,13,13,0.000166,Lilian Crisp
1930-1931,414154,118,209,0.019545,Romola Hansen
1930-1931,259318,21,21,0.000134,Andrew Higginson
1930-1931,452456,48,64,0.002168,Arthur Stigant
1930-1931,238393,44,57,0.002918,Edwin Brett
1930-1931,411303,21,21,0.000134,Eleanor Douglas
1930-1931,485648,49,66,0.002028,Francis Ogilvie
1930-1931,413468,21,21,0.000134,Irene Caffyn
1930-1931,414128,56,79,0.002983,Jean Gibson
1930-1931,530235,21,21,0.000134,Joan Lascelles
1930-1931,498088,21,21,0.000134,Mona Thomas
1930-1931,530234,60,141,0.005479,Nancy Horne
1930-1931,452464,40,45,0.001159,Sheilah Taunton
1930-1931,401531,51,71,0.004629,Zara Gaden
1930-1931,487880,12,12,4e-06,Betty Eley
1930-1931,487877,27,27,0.006368,Bobby Gordon
1930-1931,236135,30,61,0.019416,Clem Dawe
1930-1931,241406,21,21,0.006367,Compton Coutts
1930-1931,238622,23,23,0.004421,Dan Agar
1930-1931,236133,22,52,0.004568,Eric Edgley
1930-1931,446223,58,72,0.035359,John Wood
1930-1931,411340,12,12,4e-06,Leo Fowler
1930-1931,257441,12,12,4e-06,Leslie White
1930-1931,259146,12,12,4e-06,Marie Eaton
1930-1931,480540,19,20,0.003402,Mona Barlee
1930-1931,400909,12,12,4e-06,Paul Plunket
1930-1931,487879,12,12,4e-06,Rita McLean
1930-1931,452472,53,77,0.005082,Alban Whitehead
1930-1931,226104,33,34,0.002822,Edmund Duggan
1930-1931,530208,21,21,0.000193,J Jacoby
1930-1931,530207,21,21,0.000193,Jack Dane
1930-1931,233115,21,21,0.000193,Lois Green
1930-1931,530206,21,21,0.000193,Selwyn Lewis
1930-1931,419092,96,281,0.016814,Bernard Manning
1930-1931,411103,86,182,0.005984,Cecil Pawley
1930-1931,259610,27,27,4.1e-05,Frederic Bentley
1930-1931,238364,38,38,0.017572,Gaston Mervale
1930-1931,457023,27,27,4.1e-05,Ian Devereux
1930-1931,530201,45,49,0.001882,James Scott
1930-1931,444353,27,27,4.1e-05,John Money
1930-1931,457229,53,75,0.001305,John Pauley
1930-1931,450994,27,27,4.1e-05,Lance Fairfax
1930-1931,236788,66,245,0.007899,Leo Darnton
1930-1931,230980,98,277,0.009541,Marie Bremner
1930-1931,233260,63,63,0.034673,Marie La Varre
1930-1931,452114,47,66,0.003531,Marjorie Maxwell
1930-1931,248226,27,27,4.1e-05,Michael Cole
1930-1931,241179,65,112,0.004267,Mona Potts
1930-1931,411301,27,27,4.1e-05,Rene Murphy
1930-1931,411107,51,70,0.001419,Rita Lloyd
1930-1931,411307,46,52,0.001544,Robin Blair
1930-1931,444565,44,51,0.001572,Roy Baxter
1930-1931,236748,86,182,0.005984,Sidney Burchall
1930-1931,238394,27,27,4.1e-05,Sidney Stirling
1930-1931,226764,80,160,0.005899,Sidney Wheeler
1930-1931,229062,27,27,4.1e-05,Sir Robert Helpmann CBE
1930-1931,485620,27,27,4.1e-05,Sylvia Miller
1930-1931,504127,27,27,4.1e-05,Vida Castles
1930-1931,529558,24,24,0.000127,Adelina Nicola
1930-1931,231461,43,70,0.000198,Amy Rochelle
1930-1931,238593,38,40,0.003776,Bert Barton
1930-1931,238380,129,220,0.032847,Cecil Kellaway
1930-1931,457230,40,56,0.001052,Ellie Percival
1930-1931,457335,34,48,9.6e-05,Elsie May
1930-1931,257027,24,24,0.000127,George Welch
1930-1931,237173,53,94,0.000869,Gwen Bullock
1930-1931,401549,35,46,0.000201,Gwyneth  Lascelles
1930-1931,241191,58,113,0.000357,Hori Thomas
1930-1931,530203,44,70,0.0005,J H Scott
1930-1931,529684,24,24,0.000127,Jean Potter
1930-1931,236692,90,146,0.008332,Leo Franklyn
1930-1931,407025,58,109,0.00245,Leslie Donaghy
1930-1931,238640,60,99,0.00588,Leslie Holland
1930-1931,529551,35,46,0.000201,Mary Lawson
1930-1931,406761,55,71,0.010211,Phil Smith
1930-1931,444330,24,24,0.000127,Sylvia Lloyd
1930-1931,530205,22,22,4.8e-05,Boneta Colliver
1930-1931,457015,22,22,4.8e-05,David Grahame
1930-1931,411299,66,131,0.002961,Dulcie Davenport
1930-1931,530204,22,22,4.8e-05,Eva Maude
1930-1931,460674,22,22,4.8e-05,George Walsh
1930-1931,411512,22,22,4.8e-05,Iris Flynn
1930-1931,230803,66,131,0.002961,Jean Duncan
1930-1931,225010,31,31,0.002908,Lou Vernon
1930-1931,411298,49,57,0.004245,Mary Rigby
1930-1931,259545,22,22,4.8e-05,Max Pearce
1930-1931,253384,13,13,1.2e-05,Bryl Walkely
1930-1931,414121,31,31,0.001353,Dorothy Stanward
1930-1931,489524,57,68,0.006661,Elsie Prince
1930-1931,236693,86,102,0.021435,Frank Leighton
1930-1931,516976,13,13,1.2e-05,Hindle Edgar
1930-1931,452461,13,13,1.2e-05,Kathleen Fallow
1930-1931,401389,53,66,0.005718,Maidie  Hope
1930-1931,530236,32,37,0.000554,Sonny Ray
1930-1931,454397,32,37,0.000554,Tom Collins
1930-1931,530239,24,24,2e-05,Audrey Eskell
1930-1931,529856,24,24,2e-05,Charles Megan
1930-1931,237047,60,174,0.006574,Clifford Cowley
1930-1931,450001,34,34,0.002464,Eileen Ogden
1930-1931,236787,55,76,0.002433,Eric Bush
1930-1931,401274,24,24,2e-05,Frank Hawthorne
1930-1931,238610,24,24,2e-05,Josie Melville
1930-1931,530237,24,24,2e-05,Kal Fallow
1930-1931,530238,24,24,2e-05,Lal Fallow
1930-1931,235942,49,87,0.004646,Len Gotting
1930-1931,494719,24,24,2e-05,Margaret McKenzie
1930-1931,237939,35,36,0.001913,Rowena Ronald
1930-1931,237932,39,58,0.011031,Hal Percy
1930-1931,233370,18,31,0.000114,John D'Arcy
1930-1931,236376,18,31,0.000114,Leon Gordon
1930-1931,237951,10,10,8.6e-05,Mildred Cottell
1930-1931,245989,13,19,7.4e-05,Rutland Beckett
1930-1931,238591,14,21,8.2e-05,B N Lewin
1930-1931,256923,12,12,9.7e-05,Eve Dawnay
1930-1931,226765,26,33,0.000824,Les King
1930-1931,238419,12,12,9.7e-05,Marion Marcus Clarke
1930-1931,530258,12,12,9.7e-05,Mary Plimmer
1930-1931,517375,12,12,9.7e-05,Nancy Gordon
1930-1931,525656,9,9,1e-06,Fred Ives
1930-1931,463902,9,9,1e-06,Laurence Halbert
1930-1931,228849,13,14,0.000459,May Hollinworth
1930-1931,233238,65,93,0.027327,Mayne Lynton
1930-1931,238375,54,91,0.010821,Nancye Stewart
1930-1931,525657,9,9,1e-06,Robert Bertrand
1930-1931,238798,16,16,0.004972,Ada Reeve
1930-1931,238775,62,92,0.038128,Alfred Frith
1930-1931,240226,25,25,0.009093,Beryl Walkley
1930-1931,405794,11,11,1e-06,Colin  Crane
1930-1931,253400,11,11,1e-06,Hector St Clair
1930-1931,455205,32,536,0.002064,Joe Lawman
1930-1931,468964,11,11,1e-06,Nell Fleming
1930-1931,233291,30,51,0.021699,Roy Rene
1930-1931,452459,30,51,0.021699,Sadie Gale
1930-1931,226773,11,11,1e-06,Sam Stern
1930-1931,468962,53,74,0.023398,Tui Black
1930-1931,241178,78,82,0.04115,Arthur Clarke
1930-1931,254022,41,51,0.003335,Bertha Riccardo
1930-1931,412704,16,16,1.6e-05,Carleton Stuart
1930-1931,491567,16,16,1.6e-05,Elsie Parkes
1930-1931,528441,16,16,1.6e-05,Fred Bonner
1930-1931,530240,16,16,1.6e-05,Ivan Marshall
1930-1931,530241,16,16,1.6e-05,Jack Campbell
1930-1931,525889,16,16,1.6e-05,Pop Cory
1930-1931,411304,39,41,0.001517,Thorwald Le Brun
1930-1931,235465,65,69,0.01546,Vivian Edwards
1930-1931,257043,18,18,0.000136,Betty Ralland
1930-1931,529696,18,18,0.000136,Phyllis Clegg
1930-1931,530262,10,10,4e-05,Frank Kemp
1930-1931,530263,14,14,0.048547,Tory Taunton
1930-1931,230931,7,7,2.7e-05,Arthur Cornell
1930-1931,530264,41,49,0.012828,Eva Moss
1930-1931,401529,76,118,0.01957,Sadie  Bedford
1930-1931,529246,33,33,0.003693,Alec Alves
1930-1931,254021,19,19,9.6e-05,Andrew Money
1930-1931,517377,26,33,0.00027,Ann Davis
1930-1931,530271,19,19,9.6e-05,Bernard Standing
1930-1931,530265,26,33,0.00027,Edith Campbell
1930-1931,530270,19,19,9.6e-05,Frank Steele
1930-1931,401540,19,19,9.6e-05,Geoffrey  Gunn
1930-1931,407398,19,19,9.6e-05,George John Lowe Lauri
1930-1931,241290,26,33,0.00027,Gerald Kay Souper
1930-1931,238345,19,19,9.6e-05,James Hughes
1930-1931,530266,26,33,0.00027,John Stirling
1930-1931,530267,19,19,9.6e-05,Louis Darnley
1930-1931,254007,19,19,9.6e-05,Marie Dalton
1930-1931,530269,19,19,9.6e-05,Richard Bennett
1930-1931,530268,26,33,0.00027,William Faversham
1930-1931,241413,14,14,9.9e-05,Beatrice Day
1930-1931,230999,23,23,0.001959,Cecil Perry
1930-1931,528636,14,14,9.9e-05,Doris Lascelles
1930-1931,256944,49,50,0.010824,Frank Foster
1930-1931,530272,14,14,9.9e-05,Frank Leigh
1930-1931,530273,14,14,9.9e-05,William Darnley
1930-1931,227138,21,21,0.001113,George Burns
1930-1931,256795,46,72,0.008351,H Lane-Bayliff
1930-1931,530319,9,9,5e-06,John Barry
1930-1931,454318,9,9,5e-06,Lucy Adair
1930-1931,235511,9,9,5e-06,Muriel Starr
1930-1931,233252,9,9,5e-06,Reginald Newson
1930-1931,528858,19,25,0.000453,Barry Lock
1930-1931,528508,31,39,0.002984,Bernard Beeby
1930-1931,528920,93,124,0.042983,Dorothy Dewar
1930-1931,530193,19,25,0.000453,Miriam Osborne
1930-1931,530333,11,11,8.5e-05,Peter Vaatsky
1930-1931,489484,19,25,0.000453,Richard Bellairs
1930-1931,414256,40,47,0.006396,Sylvia Post Mason
1930-1931,405855,59,96,0.005657,Claude Holland
1930-1931,530334,14,14,6.4e-05,Edward Milton
1930-1931,530336,14,14,6.4e-05,John Clarke
1930-1931,530335,14,14,6.4e-05,Robert Kent
1930-1931,530356,19,28,0.000282,A Nicol
1930-1931,529766,14,14,0.00033,Arthur Morley
1930-1931,529858,14,14,0.00033,E Gilburt-Howell
1930-1931,530357,19,28,0.000282,Elsie Strickland
1930-1931,530358,19,28,0.000282,M Macarthur
1930-1931,414583,19,28,0.000282,Martyn Hagan
1930-1931,230704,14,14,0.00033,Victor Fitzherbert
1930-1931,235459,14,14,0.00033,Walter Plinge
1930-1931,227150,30,54,0.000993,Charles Zoli
1930-1931,530362,19,19,9.6e-05,Dolly Le Vere
1930-1931,253646,40,56,0.003625,Felix Bland
1930-1931,254006,28,44,0.000546,Jack McGowan
1930-1931,468697,19,19,9.6e-05,Jack Settle
1930-1931,530360,40,41,0.006094,Lilan McRae
1930-1931,527164,19,19,9.6e-05,Monica Mack
1930-1931,530363,19,19,9.6e-05,Pansy Colwell
1930-1931,471416,24,29,0.000568,Pauline Knight
1930-1931,530361,19,19,9.6e-05,Peggy Lake
1930-1931,530359,19,19,9.6e-05,Ruth Hamilton
1930-1931,411354,44,44,0.007686,Thelma Forrest
1930-1931,524911,40,41,0.006813,Vi Jagelman
1930-1931,256683,25,34,0.0144,Eric Scott
1930-1931,530318,11,11,0.000312,Basil Arnold
1930-1931,490127,10,10,9.2e-05,Marie D'Alton
1930-1931,411300,30,35,0.000909,Elved Jay
1930-1931,530525,15,15,9e-06,Joan Hush
1930-1931,244015,30,35,0.000909,John Robertson
1930-1931,452513,36,540,0.00621,June Mills
1930-1931,259317,15,15,9e-06,Victor Gouriet
1930-1931,469742,34,547,0.00047,Angela Parselles
1930-1931,456063,34,547,0.00047,Dan Weldon
1930-1931,530331,22,22,5e-05,Doreen Lowder
1930-1931,471509,22,22,5e-05,Elsie Hosking
1930-1931,530599,37,41,0.002828,Enid Stevenson
1930-1931,530600,37,41,0.002828,Florence Leighton
1930-1931,530601,22,22,5e-05,Frank Gerald
1930-1931,530602,42,44,0.001135,Frank Hyman
1930-1931,439549,45,559,0.004454,Heather Jones
1930-1931,530595,37,41,0.002828,Hilda Waring
1930-1931,530605,34,547,0.00047,Jim Lewola
1930-1931,468980,34,547,0.00047,Keith Connolly
1930-1931,524973,54,569,0.001351,Marie Marlow
1930-1931,530596,37,41,0.002828,Mercia Elliot
1930-1931,403840,34,547,0.00047,Nat Phillips
1930-1931,452158,34,547,0.00047,Stella Lamond
1930-1931,529191,37,41,0.002828,Thelma Chapman
1930-1931,234661,45,559,0.004454,Tom Dale
1930-1931,530604,34,547,0.00047,Tom Lewola
1930-1931,530603,22,22,5e-05,Will Cass
1930-1931,452410,4,4,0.0,Arthur Dodds
1930-1931,259119,8,8,0.013571,Duncan MacDougall
1930-1931,550282,4,4,0.0,M C Mott
1930-1931,228045,2,2,0.002672,Albert Collins
1930-1931,452949,5,5,3.9e-05,Ann Carlson
1930-1931,228052,2,2,0.0,Jean Brodziak
1930-1931,228053,2,2,0.0,Jean Lawson
1930-1931,228055,8,8,0.001359,Erna Living
1930-1931,228054,24,24,0.001198,Marie Rosenfield
1930-1931,228056,1,1,0.0,Wendy Palmer
1930-1931,228057,5,5,0.000541,Arthur Reardon
1930-1931,228058,24,25,0.001087,Raymond Bawtree
1930-1931,228060,24,26,0.002124,Marguerite Cullen-Ward
1930-1931,228061,2,2,0.0,Kitty Horne
1930-1931,237984,29,37,0.001536,Coral Browne
1930-1931,235491,14,14,0.000264,Darcy Kelway
1930-1931,401277,28,42,0.001153,E Pirie Bush
1930-1931,237986,21,26,0.000845,Elma Gibbs
1930-1931,228166,39,79,0.000775,Frank Harvey
1930-1931,257098,20,26,0.000484,Tal Ordell
1930-1931,401527,37,73,0.001118,Iris Darbyshire
1930-1931,485673,9,9,4.9e-05,Rene Jofe
1930-1931,254005,52,57,0.064685,George Cross
1930-1931,235402,24,28,0.000966,Jack Morgan
1930-1931,530546,25,49,0.000388,Mary Vane
1930-1931,530443,35,63,0.001841,Molly Brennan
1930-1931,530544,16,32,0.0,Belle Finlayson
1930-1931,405288,16,32,0.0,Eileen Hewitt
1930-1931,530545,16,32,0.0,Heather Finlayson
1930-1931,530548,16,32,0.0,Helen Brooke
1930-1931,238378,16,32,0.0,Jessica Harcourt
1930-1931,530547,16,32,0.0,Kitty Green
1930-1931,241189,12,12,2.8e-05,Ronald Atholwood
1930-1931,530543,26,26,0.002497,Tischa Guille
1930-1931,246070,35,539,0.003144,Betty Lambert
1930-1931,405856,14,14,3.1e-05,Fred Witt
1930-1931,405857,25,26,0.00753,Lance Vane
1930-1931,405860,14,14,3.1e-05,Len Maurice
1930-1931,405858,14,14,3.1e-05,Maurice Jaffey
1930-1931,235512,14,14,3.1e-05,Phyllis Nicholson
1930-1931,405859,25,26,0.00753,Reg Hawthorne
1930-1931,242843,12,17,0.000775,Agnes Dobson
1930-1931,233807,12,17,0.000775,Austin Milroy
1930-1931,230701,12,17,0.000775,Field Fisher
1930-1931,245969,12,17,0.000775,Frank Neil
1930-1931,449780,9,9,5.7e-05,John Roberts
1930-1931,442405,9,9,5.7e-05,Josie Law
1930-1931,226757,12,17,0.000775,Yvonne Banvard
1930-1931,256908,9,9,0.0,Ethel Paige
1930-1931,469836,9,9,0.0,George Doran
1930-1931,231777,9,9,0.0,Loris Bingham
1930-1931,414137,9,9,0.0,Rita Aslin
1930-1931,454591,9,9,0.0,Walter Vincent
1930-1931,455307,3,3,1e-06,Lali Le Gay Brereton
1930-1931,531366,7,7,0.0,Carolyn Forsythe
1930-1931,531362,7,7,0.0,Duane Lascelles
1930-1931,531365,7,7,0.0,E Gurr
1930-1931,443510,7,7,0.0,E J Fleming
1930-1931,531364,7,7,0.0,Harry Hambridge
1930-1931,456049,7,7,0.0,John Wilson
1930-1931,455193,26,26,0.044357,Nance Gurr
1930-1931,531363,7,7,0.0,Wendy Woolfry
1930-1931,453405,2,3,0.0,Adele Quinn
1930-1931,453058,6,6,2e-06,Lyndsay Shaw
1930-1931,453059,6,6,2e-06,Phillida Cooper
1930-1931,246246,6,6,2e-06,Wendy Woolfrey
1930-1931,453870,4,4,0.0,Betty Holmes
1930-1931,453872,4,4,0.0,Delmont Purflett
1930-1931,453869,4,4,0.0,George Thomson
1930-1931,420587,4,4,0.0,Jean  Brown
1930-1931,453871,4,4,0.0,Valerie Dickson
1930-1931,454859,6,6,0.0,D Vautier
1930-1931,454858,28,28,0.009133,Heather Bell
1930-1931,454861,6,6,0.0,J S K Maclennon
1930-1931,454866,1,1,0.0,Arthur Freeman
1930-1931,454879,6,6,4.4e-05,E Hernshaw
1930-1931,451849,6,6,4.4e-05,Helen Blood
1930-1931,454880,6,6,4.4e-05,J MacDonald
1930-1931,453592,12,14,0.000257,Marguerite Shirlaw
1930-1931,454877,6,6,4.4e-05,Mrs Jenkins
1930-1931,455194,8,8,4.5e-05,Mary Shirlaw
1930-1931,415879,8,8,4.5e-05,Robert Gibson
1930-1931,455197,8,8,4.5e-05,Walter Trennick
1930-1931,453465,8,8,0.002027,Charles Leslie Cunnington
1930-1931,443294,4,4,0.0,Vern Cunnington
1930-1931,227193,4,4,0.0,Laura West
1930-1931,442279,4,4,0.0,William Gates
1930-1931,246908,4,4,0.0,Colin Jones
1930-1931,455806,4,4,0.0,Harold  Riley
1930-1931,455807,4,4,0.0,Hessel Morrison
1930-1931,227275,4,4,0.0,Jean Blue
1930-1931,455808,4,4,0.0,Moyna Martin
1930-1931,477554,12,12,0.0,"Alec Derwent Hope AC, OBE"
1930-1931,486248,12,12,0.0,Angus Hunter
1930-1931,486247,12,12,0.0,Earnest Southgate
1930-1931,463905,12,12,0.0,Eugenie McNeil
1930-1931,456045,12,12,0.0,Gregory Walker-Taylor
1930-1931,2104,12,12,0.0,James Pratt
1930-1931,486236,12,12,0.0,Norma McLeod
1930-1931,484056,12,12,0.0,Patricia Rutherford
1930-1931,486249,12,12,0.0,Robert Lockwood
1930-1931,463901,12,12,0.0,Ronald Andrews
1930-1931,477607,12,12,0.0,Stephen Leach
1930-1931,486245,12,12,0.0,Winifred Pratt
1930-1931,228075,5,5,0.0,Ellis Price
1930-1931,463913,5,5,0.0,Phyllis McGrath
1930-1931,477472,6,6,0.0,Alfreda Bedford
1930-1931,477473,6,6,0.0,Donald Walsh
1930-1931,402065,6,6,0.0,Harold Watch
1930-1931,454200,6,6,0.0,Jane Connolly
1930-1931,477474,6,6,0.0,Mrs Albert Cazabon
1930-1931,228248,6,6,0.0,Norah Cazabon
1930-1931,477570,11,11,0.0,Alice Maude
1930-1931,477571,11,11,0.0,Anne Milhuish
1930-1931,477573,11,11,0.0,Clarice Hoffe
1930-1931,477574,11,11,0.0,E Jackson
1930-1931,477580,11,11,0.0,E Whitehead
1930-1931,477575,11,11,0.0,G B Butterworth
1930-1931,477578,11,11,0.0,Irene Packard
1930-1931,477572,11,11,0.0,John O'Keefe
1930-1931,477581,11,11,0.0,M Wilson
1930-1931,453857,11,11,0.0,R Seymour Costelloe
1930-1931,455300,11,11,0.0,Roger Murphy
1930-1931,232016,1,1,0.0,Betty Rayner AM
1930-1931,232015,1,1,0.0,Joan Rayner AM
