window,contributor_id,degree,weighted_degree,betweenness,name
1920-1921,502528,18,18,0.000546,Billy Elliott
1920-1921,245891,20,25,0.000515,Billy Rego
1920-1921,402024,39,41,0.008018,Charles H Workman
1920-1921,253366,24,24,0.007477,Clarice Hardwicke
1920-1921,469832,18,18,0.000546,Crosbie Ward
1920-1921,253372,18,18,0.000546,Fifi Russell
1920-1921,237017,49,78,0.058452,George Gee
1920-1921,407293,18,18,0.000546,J Roy Workman
1920-1921,488352,18,18,0.000546,Jean Keith
1920-1921,245892,39,41,0.008018,Lawrence Hardinge
1920-1921,257015,39,41,0.008018,Lottie Sargent
1920-1921,230698,25,36,0.000466,Maurice Nodin
1920-1921,227114,20,25,0.000515,Minnie Love
1920-1921,468964,20,25,0.000515,Nell Fleming
1920-1921,502236,18,18,0.000546,Phyllis Colan
1920-1921,492093,39,65,0.015704,Steff Macdonald
1920-1921,502530,18,18,0.000546,Vickie Miller
1920-1921,412001,8,8,2.1e-05,Blanche Massey
1920-1921,479943,11,17,0.000819,George Tully
1920-1921,502545,11,17,0.000819,Joseph F Graham
1920-1921,502547,11,17,0.000819,Leslie Graham
1920-1921,502546,11,17,0.000819,Leslie Lester
1920-1921,479948,11,17,0.000819,Margaret Swallow
1920-1921,479944,11,17,0.000819,Marie Rignold
1920-1921,237944,11,17,0.000819,Ronald Ward
1920-1921,502544,8,8,2.1e-05,Rosalind Courtneidge
1920-1921,228166,51,73,0.036716,Frank Harvey
1920-1921,502534,9,18,0.0,Jack Corcoran
1920-1921,502537,9,18,0.0,John Western
1920-1921,402123,23,33,0.003607,Kitty Reidy
1920-1921,238366,9,18,0.0,Lee White
1920-1921,259317,9,18,0.0,Victor Gouriet
1920-1921,402090,9,18,0.0,William Liddle
1920-1921,257881,32,34,0.005387,Roy Redgrave
1920-1921,533414,16,36,0.000134,Amorel Kemp
1920-1921,235490,14,41,2e-06,Ashton Jarry
1920-1921,502723,19,59,0.000267,Doris Gilham
1920-1921,533413,21,69,0.000634,Dorothy Hamilton
1920-1921,246000,21,62,0.000634,Herbert Millard
1920-1921,232966,16,36,0.000334,Katie Towers
1920-1921,400654,21,72,0.000634,Marie Tempest
1920-1921,230923,26,75,0.005706,Roger Barry
1920-1921,400653,13,34,0.0,W Graham Browne
1920-1921,419107,20,20,0.000315,Beatrice Wenban
1920-1921,238622,20,20,0.000315,Dan Agar
1920-1921,539361,20,20,0.000315,David Dramin
1920-1921,539866,20,20,0.000315,Hugh Ward (Junior)
1920-1921,538257,20,20,0.000315,J  Neal
1920-1921,226746,26,26,0.024113,Leslie Victor
1920-1921,539862,20,20,0.000315,Little Willie
1920-1921,539864,20,20,0.000315,Madame Donalda-Ayer
1920-1921,410996,20,20,0.000315,Maie Baird
1920-1921,539867,31,31,0.021509,Melbourne Ward
1920-1921,539360,20,20,0.000315,Muriel Hudson
1920-1921,411003,20,20,0.000315,Myrtle Power
1920-1921,248704,49,49,0.032819,Reginald Roberts
1920-1921,257102,16,16,0.008611,Alice Walton
1920-1921,500446,3,3,0.0,Hal King
1920-1921,500445,3,3,0.0,Tom Haverey
1920-1921,500447,3,3,0.0,Vera Walton
1920-1921,415275,1,1,0.0,Amy Castles
1920-1921,259470,16,16,0.002944,Ralph Errolle
1920-1921,540647,15,15,0.000134,Betty Montgomery
1920-1921,460833,15,15,0.000134,Dorothy Hastings
1920-1921,539365,15,15,0.000134,Edna McCall
1920-1921,534143,15,15,0.000134,Elsie Campbell
1920-1921,238804,15,18,0.0,Eve Lynn
1920-1921,257027,15,15,0.000134,George Welch
1920-1921,253393,28,37,0.006355,Herbert Leigh
1920-1921,539366,15,15,0.000134,Ida Tupper
1920-1921,401655,25,28,0.017075,Maggie Dickinson
1920-1921,252803,42,54,0.018244,Margaret Sutcliffe
1920-1921,539363,15,15,0.000134,Margot Lester
1920-1921,460837,15,18,0.0,Marriott Edgar
1920-1921,530370,15,15,0.000134,May Harris
1920-1921,237913,15,15,0.000134,Stanley Odgers
1920-1921,479815,15,15,0.000134,Sydney Yates
1920-1921,460836,15,18,0.0,Winifred Roma
1920-1921,492092,16,16,0.003783,Gwen Burroughs
1920-1921,233807,9,9,0.0,Austin Milroy
1920-1921,253638,9,9,0.0,Ella Carrington
1920-1921,258016,9,9,0.0,Harry McDonna
1920-1921,258013,9,9,0.0,John Lennon
1920-1921,258012,9,9,0.0,Ken Carlisle
1920-1921,258011,9,9,0.0,Muriel Dale
1920-1921,230770,9,9,0.0,Nellie Bramley
1920-1921,258010,13,14,0.011337,Pearl Helmrich
1920-1921,258017,9,9,0.0,R H Stephenson
1920-1921,231007,13,14,0.011337,William Stewart
1920-1921,242843,5,5,0.0,Agnes Dobson
1920-1921,235470,5,5,0.0,Nellie Ferguson
1920-1921,245989,5,5,0.0,Rutland Beckett
1920-1921,235465,11,11,0.036534,Vivian Edwards
1920-1921,230931,25,31,0.001279,Arthur Cornell
1920-1921,253371,12,12,2.8e-05,Arthur Glynn
1920-1921,535671,12,12,2.8e-05,David Drayton
1920-1921,237989,22,26,0.00085,Edwin Lester
1920-1921,252800,32,51,0.002018,Frederick Esmelton
1920-1921,535606,12,12,2.8e-05,John Beck
1920-1921,238625,38,57,0.01725,John D O'Hara
1920-1921,252802,32,51,0.002018,Lizette Parkes
1920-1921,238419,12,12,2.8e-05,Marion Marcus Clarke
1920-1921,461176,25,31,0.001279,Mr H H Wallace
1920-1921,252801,32,51,0.002018,Robert Toms
1920-1921,238397,12,12,2.8e-05,Sidney Sterling
1920-1921,533839,25,31,0.001279,Thomas Lloyd
1920-1921,507864,5,5,0.0,Bobby Roberts
1920-1921,507861,5,5,0.0,Charles Holt
1920-1921,504131,5,5,0.0,George Castles
1920-1921,235495,5,5,0.0,Jock Thompson
1920-1921,507862,5,5,0.0,Ralph Sawyer
1920-1921,507863,5,5,0.0,Tiki Carpenter
1920-1921,479748,29,29,0.000182,Brian Lawrance
1920-1921,541541,29,29,0.000182,C Higgs
1920-1921,259316,29,30,0.000165,Florence Young
1920-1921,405901,29,29,0.000182,George Conyngham
1920-1921,541542,29,29,0.000182,Grayce Connell
1920-1921,446995,29,29,0.000182,Harold Reeves
1920-1921,410984,29,29,0.000182,Harry Ratcliffe
1920-1921,411002,29,29,0.000182,Jennie Opie
1920-1921,238608,29,29,0.000182,John Forde
1920-1921,401072,32,32,0.008793,Madge Herrick
1920-1921,411200,29,29,0.000182,Percy Claridge
1920-1921,449790,29,29,0.000182,Vida Edwards
1920-1921,257017,29,29,0.000182,Zoe Wenke
1920-1921,238639,7,7,0.000226,Gertrude Boswell
1920-1921,415007,13,13,0.0,Cora Warner
1920-1921,235937,13,13,0.0,Fred Macdonald
1920-1921,253636,21,21,0.025509,Jack Kirby
1920-1921,415006,13,13,0.0,Jack Soutar
1920-1921,415002,13,13,0.0,Jessie Dale
1920-1921,413950,21,21,0.071184,John Cosgrove
1920-1921,407169,13,13,0.0,Johnson Weir
1920-1921,235506,13,13,0.0,Kate Howarde
1920-1921,412785,13,13,0.0,Leslie Woods
1920-1921,415004,13,13,0.0,Louis McHilton
1920-1921,415001,13,13,0.0,Neill Alexander
1920-1921,415005,13,13,0.0,Rose Rooney
1920-1921,415003,13,13,0.0,Vivian Langley
1920-1921,231501,30,30,0.052752,Arthur Greenaway
1920-1921,259810,15,15,7e-06,Eardley Turner
1920-1921,516151,15,15,7e-06,Esther Mitchell
1920-1921,542533,15,15,7e-06,Frank Peachey
1920-1921,241290,46,47,0.054479,Gerald Kay Souper
1920-1921,254029,15,15,7e-06,Leslie Manners
1920-1921,238387,21,21,0.030377,Lorna Helms
1920-1921,226115,29,29,0.071041,Mary Marlowe
1920-1921,407391,25,25,0.060178,Maurice Dudley
1920-1921,257883,23,24,0.009492,Olive Wilton
1920-1921,478146,22,22,0.085676,Raymond Lawrence
1920-1921,451732,34,34,0.035633,Reginald Long
1920-1921,230704,15,15,7e-06,Victor Fitzherbert
1920-1921,528012,15,15,7e-06,William Crooks
1920-1921,534314,18,38,0.000267,Graham Browne
1920-1921,542534,15,27,0.000727,Keppel Stephenson
1920-1921,543117,10,10,0.000313,Charles Tolhurst
1920-1921,543116,10,10,0.000313,Vernon Thompson
1920-1921,259174,9,9,2.8e-05,Frederick Moyes
1920-1921,509806,19,19,7.7e-05,Alma Rock-Phillips
1920-1921,401600,28,75,0.001749,Albert Kavanagh
1920-1921,449515,29,92,0.001395,Frederick Hobbs
1920-1921,461223,5,10,0.0,Kitty Howard
1920-1921,449494,27,83,0.001322,Patti Russell
1920-1921,449501,5,10,0.0,Vera Bedford
1920-1921,536093,14,19,0.001643,Plumpton Wilson
1920-1921,235454,10,10,0.000426,Reg Robins
1920-1921,259147,61,87,0.104429,Ethel Morrison
1920-1921,403849,26,26,0.029571,George Villiers Arnold
1920-1921,401076,11,17,0.0,A H  Majilton
1920-1921,245886,23,35,0.015962,Hugh Steyne
1920-1921,259468,11,17,0.0,Ivy Shilling
1920-1921,259466,11,17,0.0,Jamieson Dodds
1920-1921,233260,23,33,0.003703,Marie La Varre
1920-1921,227154,23,32,0.016614,Rene Maxwell
1920-1921,543950,12,12,0.000224,Charles Roberts
1920-1921,533641,12,12,0.000224,Frank Allanby
1920-1921,536012,12,12,0.000224,George Stephenson
1920-1921,543951,12,12,0.000224,Rege Robbins
1920-1921,465996,10,11,0.020397,'Snowy' Baker
1920-1921,526984,13,13,0.02592,Brownie Vernon
1920-1921,488728,6,6,1e-06,Charles Villiers
1920-1921,513664,26,26,0.055869,David Edelsten
1920-1921,526985,6,6,1e-06,Malcolm MacKellar
1920-1921,454591,6,6,1e-06,Walter Vincent
1920-1921,526980,10,11,0.020397,Wilfred Lucas
1920-1921,526948,5,5,1e-06,Arthur Tauchert
1920-1921,527004,11,11,0.01973,Bernice Vere
1920-1921,527028,5,5,1e-06,Kathleen Key
1920-1921,507866,6,6,0.0,Claude Turton
1920-1921,527031,6,6,0.0,Flo Little
1920-1921,527032,6,6,0.0,Floris St George
1920-1921,467208,6,6,0.0,Godfrey Cass
1920-1921,525402,6,6,0.0,Miss Beatrice Hamilton
1920-1921,527002,6,6,0.0,Thomas Sinclair
1920-1921,541084,10,10,0.0,Frank Perkins
1920-1921,541100,10,10,0.0,G P Hanna
1920-1921,541079,10,10,0.0,George Proctor
1920-1921,541081,10,10,0.0,Lancelot Fairfax
1920-1921,541082,10,10,0.0,Laslett Exton
1920-1921,541083,10,10,0.0,Norman French
1920-1921,541077,10,10,0.0,Pat Hanna
1920-1921,541080,10,10,0.0,Roy Simpson
1920-1921,541078,10,10,0.0,Stanley Lawson
1920-1921,541076,10,10,0.0,Tano Fama
1920-1921,541086,10,10,0.0,Wil Crawford
1920-1921,522107,17,32,0.0,B Kelly
1920-1921,414236,17,32,0.0,Charles Bradley
1920-1921,449487,24,59,2.7e-05,Charles Mettam
1920-1921,449603,17,32,0.0,Ernest Flaxman
1920-1921,238359,27,79,3.5e-05,John Ralston
1920-1921,449516,17,32,0.0,Stanley Allen
1920-1921,449488,24,52,5.8e-05,Thelma Carter
1920-1921,449490,23,46,7.1e-05,Tom Minogue
1920-1921,449602,16,16,0.012109,William Verken
1920-1921,453223,16,16,0.012109,William Neilsen
1920-1921,252809,26,27,0.004906,Cecil Spong
1920-1921,401379,41,52,0.024771,John Bedouin
1920-1921,230969,27,33,0.00231,John Fernside
1920-1921,538166,19,19,7.7e-05,Lillian McKenney
1920-1921,538165,19,19,7.7e-05,Margaret Maclyn
1920-1921,537012,19,19,7.7e-05,Mattie Browne
1920-1921,412149,27,33,0.00231,Mr J B Atholwood
1920-1921,523283,19,19,7.7e-05,Mr J Rosier
1920-1921,529360,19,19,7.7e-05,Rodway Gainsford
1920-1921,533642,30,35,0.011095,Sidney Sterling
1920-1921,530285,21,31,0.000216,Doris Duane
1920-1921,252804,17,28,0.001029,Joseph Coyne
1920-1921,253365,17,28,0.001029,Lance Lister
1920-1921,530644,9,9,2.8e-05,Lucie Carter
1920-1921,253363,14,20,0.000535,Marjorie Bennett
1920-1921,545033,17,25,0.001029,Rubi Trelease
1920-1921,252810,8,8,2.3e-05,Majorie Bennett
1920-1921,225010,15,18,7e-06,Lou Vernon
1920-1921,245887,15,18,7e-06,Muriel Cathcart
1920-1921,401066,11,11,2.7e-05,Charles White
1920-1921,401274,11,11,2.7e-05,Frank Hawthorne
1920-1921,400900,21,23,0.007596,H R Roberts
1920-1921,535149,11,11,2.7e-05,Harry Paulton (Junior)
1920-1921,545153,11,11,2.7e-05,Henry W Carlton
1920-1921,545152,11,11,2.7e-05,Joyce Hunt
1920-1921,259474,26,39,0.001917,Maude Hanaford
1920-1921,249809,11,11,2.7e-05,William Kelly
1920-1921,245946,23,26,0.020178,Archie Thompson
1920-1921,491854,15,15,6.1e-05,Arthur Martin
1920-1921,240222,15,15,6.1e-05,Claude Fleming
1920-1921,239022,25,25,0.039276,Edith Drayson
1920-1921,237934,15,15,6.1e-05,Jack Dunne
1920-1921,457367,15,15,6.1e-05,William Archer
1920-1921,402040,23,23,0.0,Bertha Miller
1920-1921,245888,23,23,0.0,David Loffman
1920-1921,401248,23,23,0.0,Eily  Malyon
1920-1921,402016,23,23,0.0,Ethel Keys
1920-1921,402044,23,23,0.0,Frank Charlton
1920-1921,402019,23,23,0.0,Frederick Mackay
1920-1921,402026,23,23,0.0,George Graystone
1920-1921,233167,23,23,0.0,Gregory Stroud
1920-1921,402043,23,23,0.0,Ida Griffin
1920-1921,259338,23,23,0.0,Jessie Page
1920-1921,402039,23,23,0.0,Louie Pounds
1920-1921,402041,23,23,0.0,Mabel Abadee
1920-1921,514924,23,23,0.0,Myrtle Green
1920-1921,236748,23,23,0.0,Sidney Burchall
1920-1921,259330,23,23,0.0,Vera Pearce
1920-1921,402038,23,23,0.0,Vincent  White
1920-1921,545215,23,23,0.0,William Haines
1920-1921,252812,14,20,0.0,Jules Jordan
1920-1921,259331,5,5,8e-06,Edmund Sherras
1920-1921,259353,3,3,0.0,Eileen Cottey
1920-1921,253381,3,3,0.0,Jack Cannot
1920-1921,402130,11,22,0.0,Beryl Anderson
1920-1921,238771,11,22,0.0,Harry Burcher
1920-1921,411205,11,22,0.0,Lucy Greenhill
1920-1921,259475,1,1,0.0,Mione Stewart
1920-1921,259161,5,7,0.000707,Blanche Browne
1920-1921,226770,5,7,0.000707,Claude Flemming
1920-1921,236142,12,12,0.001992,Beatrice Esmond
1920-1921,253669,13,22,3e-06,Cyril Mackay
1920-1921,400320,12,12,0.001992,Harry Roberts
1920-1921,236699,17,28,0.000181,Kenneth Brampton
1920-1921,545249,8,8,1.6e-05,Arthur Denton
1920-1921,404843,18,18,0.004206,Frances Ross
1920-1921,235036,3,3,0.0,Anew McMaster
1920-1921,400908,3,3,0.0,Doris  Kendal
1920-1921,401071,3,3,0.0,Isobel Brosnan
1920-1921,238380,14,14,0.001362,Cecil Kellaway
1920-1921,545127,11,11,0.000134,Moya Chance
1920-1921,245895,11,11,0.000134,William Valentine
1920-1921,401940,8,9,0.000232,Gerald  Carr
1920-1921,237931,7,7,0.000276,Gregan McMahon
1920-1921,228080,4,4,1e-06,Liz Pearse
1920-1921,246875,4,4,1e-06,Ruth Bedford
1920-1921,401941,8,9,0.000232,Winchester  Ford
1920-1921,227361,3,3,0.0,Dame Doris Fitton DBE
1920-1921,401944,11,11,0.001041,Eleanor  Ross
1920-1921,401943,3,3,0.0,Farrington  Jay
1920-1921,228055,13,13,0.00179,Erna Living
1920-1921,401961,5,5,1e-06,Evelyn  Marsh
1920-1921,401963,5,5,1e-06,Rita  Kirkpatrick
1920-1921,402011,5,5,1e-06,Victor  Troughton
1920-1921,401946,3,3,0.0,George Payten
1920-1921,401949,3,3,0.0,J McAneny
1920-1921,401950,3,3,0.0,Kenneth Webb
1920-1921,253384,19,38,0.001948,Bryl Walkely
1920-1921,449616,21,47,0.00407,Grace Crotty
1920-1921,246239,17,27,0.00308,Jack Kinson
1920-1921,544840,13,13,0.007161,Olga Lyons
1920-1921,406754,11,11,0.000405,Clyde Meynell
1920-1921,410995,17,25,0.00054,Jessie Caffyn
1920-1921,248710,19,37,0.00072,Molly Tyrell
1920-1921,402031,8,8,0.0,Ada Lovegrove
1920-1921,228045,8,8,0.0,Albert Collins
1920-1921,402042,8,8,0.0,Beatrice  MacDonald
1920-1921,477619,8,8,0.0,Cecil Kidson
1920-1921,477618,8,8,0.0,Gladys Canning
1920-1921,402164,8,8,0.0,Ida Gough
1920-1921,501523,4,4,0.0,Ada Cerito
1920-1921,227150,4,4,0.0,Charles Zoli
1920-1921,502258,4,4,0.0,Donald Stewart
1920-1921,400662,16,16,0.025629,Gerald Harcourt
1920-1921,502260,4,4,0.0,Keith Desmond
1920-1921,452512,0,0,0.0,Harrington Reynolds
1920-1921,484038,7,14,0.0,Aileen Hunter
1920-1921,470908,7,14,0.0,Dorothy Dickson
1920-1921,452983,7,14,0.0,Elinor Wray
1920-1921,484041,7,14,0.0,Ellenor Cochrane
1920-1921,238285,7,14,0.0,Grace Stafford
1920-1921,484039,7,14,0.0,James Brunton-Gibb
1920-1921,484037,7,14,0.0,Jessie Storey
1920-1921,228849,7,14,0.0,May Hollinworth
1920-1921,235455,12,84,0.0,Allan Wilkie
1920-1921,515335,12,84,0.0,Arthur Goodsall
1920-1921,515334,12,84,0.0,Edith Winter
1920-1921,253646,12,84,0.0,Felix Bland
1920-1921,235473,12,84,0.0,Frediswyde Hunter-Watts
1920-1921,226109,26,98,0.033795,Jack Lennon
1920-1921,442390,12,84,0.0,Jessica Dale
1920-1921,233375,12,84,0.0,Lorna Forbes
1920-1921,438664,12,84,0.0,Mona Duval
1920-1921,438643,12,84,0.0,Mr J Plumpton Wilson
1920-1921,251134,12,84,0.0,Phyllis Scully
1920-1921,253654,12,84,0.0,Robert Purdie
1920-1921,254033,12,84,0.0,Vincent Scully
1920-1921,240226,9,9,0.00029,Beryl Walkley
1920-1921,449518,9,9,0.00029,Cissie Vaughan
1920-1921,447001,14,14,0.001178,Gladys Baker
1920-1921,460839,10,10,0.0,Albert le Fre
1920-1921,460838,10,10,0.0,Beatrice Allen
1920-1921,238393,10,10,0.0,Edwin Brett
1920-1921,449816,10,10,0.0,Emmeline Orford
1920-1921,253400,10,10,0.0,Hector St Clair
1920-1921,403125,10,10,0.0,Helen Temple
1920-1921,236795,10,10,0.0,Nellie Barnes
1920-1921,451615,16,16,1e-06,Adeline Taylor
1920-1921,258732,16,16,1e-06,Frederick Ward
